data,0-39 anni,40-59 anni,60-79 anni,80-89 anni,≥90 anni
2020-10-23,9403.285714285714,7150.428571428572,3371.1428571428573,985.4285714285714,350.42857142857144
2020-10-24,10037.714285714286,7786.0,3653.714285714286,1089.857142857143,381.0
2020-10-25,10642.285714285714,8393.285714285714,3951.4285714285716,1165.7142857142858,405.7142857142857
2020-10-26,11067.285714285714,8897.285714285714,4227.428571428572,1224.0,421.2857142857143
2020-10-27,11519.42857142857,9414.0,4481.571428571428,1296.2857142857142,431.2857142857143
2020-10-28,11733.142857142857,9687.0,4665.428571428572,1360.0,455.57142857142856
2020-10-29,11825.57142857143,9812.285714285714,4759.142857142857,1382.142857142857,462.7142857142857
2020-10-30,12076.857142857143,10209.714285714286,4980.142857142857,1446.2857142857142,477.14285714285717
2020-10-31,12313.42857142857,10564.857142857143,5227.857142857143,1498.857142857143,497.57142857142856
2020-11-01,12583.857142857143,10994.285714285714,5490.0,1580.857142857143,518.5714285714286
2020-11-02,12787.142857142857,11394.42857142857,5736.857142857143,1681.0,545.2857142857143
2020-11-03,12962.857142857143,11792.0,5983.571428571428,1751.7142857142858,580.0
2020-11-04,13106.857142857143,12049.714285714286,6136.142857142857,1815.142857142857,592.2857142857143
2020-11-05,13157.57142857143,12155.714285714286,6211.857142857143,1852.2857142857142,606.0
2020-11-06,13191.714285714286,12344.42857142857,6371.857142857143,1892.4285714285713,619.1428571428571
2020-11-07,13162.42857142857,12504.57142857143,6509.571428571428,1948.2857142857142,645.1428571428571
2020-11-08,12870.42857142857,12430.142857142857,6497.714285714285,1989.4285714285713,664.4285714285714
2020-11-09,12678.57142857143,12348.57142857143,6530.142857142857,2014.2857142857142,681.5714285714286
2020-11-10,12406.714285714286,12178.285714285714,6548.0,2057.285714285714,709.4285714285714
2020-11-11,12259.57142857143,12116.714285714286,6577.714285714285,2042.7142857142858,705.4285714285714
2020-11-12,12162.857142857143,12037.285714285714,6576.142857142857,2051.1428571428573,712.1428571428571
2020-11-13,11974.42857142857,11905.714285714286,6590.0,2101.4285714285716,754.1428571428571
2020-11-14,11766.857142857143,11811.57142857143,6588.285714285715,2123.5714285714284,749.1428571428571
2020-11-15,11577.857142857143,11654.57142857143,6576.428571428572,2120.285714285714,751.0
2020-11-16,11356.42857142857,11485.0,6521.285714285715,2103.5714285714284,746.7142857142857
2020-11-17,10973.285714285714,11120.714285714286,6368.857142857143,2075.8571428571427,731.4285714285714
2020-11-18,10673.857142857143,10827.0,6196.285714285715,2043.2857142857142,721.5714285714286
2020-11-19,10528.57142857143,10667.857142857143,6075.857142857143,2002.7142857142858,699.5714285714286
2020-11-20,10129.857142857143,10227.0,5841.428571428572,1929.0,660.2857142857143
2020-11-21,9620.714285714286,9683.142857142857,5584.714285714285,1867.2857142857142,652.1428571428571
2020-11-22,9145.0,9146.42857142857,5339.0,1800.4285714285713,649.0
2020-11-23,8671.857142857143,8668.142857142857,5085.571428571428,1762.2857142857142,648.4285714285714
2020-11-24,8303.0,8223.714285714286,4824.285714285715,1678.4285714285713,621.8571428571429
2020-11-25,8078.285714285715,7953.571428571428,4687.142857142857,1662.2857142857142,625.0
2020-11-26,7948.0,7810.428571428572,4611.285714285715,1646.142857142857,629.2857142857143
2020-11-27,7664.857142857143,7493.0,4444.142857142857,1604.857142857143,626.5714285714286
2020-11-28,7417.714285714285,7193.285714285715,4272.857142857143,1571.2857142857142,623.4285714285714
2020-11-29,7154.0,6879.285714285715,4095.714285714286,1533.7142857142858,605.0
2020-11-30,6888.285714285715,6549.571428571428,3900.1428571428573,1465.5714285714287,574.1428571428571
2020-12-01,6699.0,6348.428571428572,3791.714285714286,1443.857142857143,565.1428571428571
2020-12-02,6550.142857142857,6204.142857142857,3730.0,1411.857142857143,564.7142857142857
2020-12-03,6456.285714285715,6129.714285714285,3682.0,1386.142857142857,556.8571428571429
2020-12-04,6308.571428571428,5994.571428571428,3574.8571428571427,1356.142857142857,542.4285714285714
2020-12-05,5551.857142857143,5225.571428571428,3136.0,1194.142857142857,469.2857142857143
2020-12-06,5486.714285714285,5205.142857142857,3076.285714285714,1171.0,455.7142857142857
2020-12-07,5505.285714285715,5239.285714285715,3087.5714285714284,1176.857142857143,465.42857142857144
2020-12-08,5480.285714285715,5195.0,3069.285714285714,1165.142857142857,468.0
2020-12-09,5445.571428571428,5179.285714285715,3027.285714285714,1133.4285714285713,449.0
2020-12-10,5409.428571428572,5156.285714285715,3014.5714285714284,1130.5714285714287,444.0
2020-12-11,5371.857142857143,5081.0,2992.0,1105.7142857142858,435.2857142857143
2020-12-12,5935.0,5616.857142857143,3286.1428571428573,1216.2857142857142,489.42857142857144
2020-12-13,5806.285714285715,5431.0,3207.8571428571427,1175.0,471.7142857142857
2020-12-14,5644.0,5205.428571428572,3102.4285714285716,1126.4285714285713,445.57142857142856
2020-12-15,5499.428571428572,5085.571428571428,3043.0,1086.7142857142858,423.2857142857143
2020-12-16,5427.571428571428,5015.857142857143,3000.714285714286,1088.2857142857142,426.2857142857143
2020-12-17,5494.428571428572,5033.571428571428,3011.8571428571427,1087.2857142857142,427.42857142857144
2020-12-18,5467.571428571428,5007.714285714285,2980.1428571428573,1059.857142857143,411.2857142857143
2020-12-19,5543.428571428572,5072.571428571428,3031.714285714286,1035.0,389.2857142857143
2020-12-20,5652.428571428572,5176.285714285715,3114.714285714286,1051.857142857143,386.85714285714283
2020-12-21,5618.428571428572,5160.714285714285,3093.4285714285716,1031.5714285714287,381.57142857142856
2020-12-22,4963.0,4552.428571428572,2749.0,923.4285714285714,338.57142857142856
2020-12-23,4685.0,4317.142857142857,2629.5714285714284,873.4285714285714,317.0
2020-12-24,4748.142857142857,4400.285714285715,2671.8571428571427,881.8571428571429,314.0
2020-12-25,4864.571428571428,4498.142857142857,2727.714285714286,891.2857142857143,316.14285714285717
2020-12-26,5139.285714285715,4699.0,2862.0,915.7142857142857,322.85714285714283
2020-12-27,5434.142857142857,4907.285714285715,3006.0,936.0,324.42857142857144
2020-12-28,5625.142857142857,5035.0,3100.8571428571427,972.7142857142857,327.7142857142857
2020-12-29,5711.571428571428,5088.571428571428,3123.714285714286,988.8571428571429,334.42857142857144
2020-12-30,6197.714285714285,5461.0,3333.1428571428573,1067.2857142857142,359.14285714285717
2020-12-31,6233.571428571428,5483.142857142857,3355.0,1077.857142857143,360.42857142857144
2021-01-01,6478.714285714285,5618.571428571428,3462.8571428571427,1108.857142857143,364.14285714285717
2021-01-02,6526.142857142857,5629.571428571428,3461.4285714285716,1131.5714285714287,379.57142857142856
2021-01-03,5735.714285714285,4916.571428571428,3022.285714285714,1017.8571428571429,342.2857142857143
2021-01-04,5907.428571428572,5005.0,3075.8571428571427,1037.2857142857142,346.57142857142856
2021-01-05,6763.714285714285,5721.571428571428,3496.4285714285716,1157.7142857142858,385.14285714285717
2021-01-06,6751.428571428572,5693.0,3467.8571428571427,1144.857142857143,369.85714285714283
2021-01-07,6691.857142857143,5619.142857142857,3412.4285714285716,1127.857142857143,369.7142857142857
2021-01-08,6346.571428571428,5323.285714285715,3250.8571428571427,1095.857142857143,367.14285714285717
2021-01-09,5891.428571428572,4918.571428571428,3028.285714285714,1033.4285714285713,335.7142857142857
2021-01-10,6249.857142857143,5227.142857142857,3184.4285714285716,1092.4285714285713,359.85714285714283
2021-01-11,5841.142857142857,4902.428571428572,3001.0,1048.142857142857,352.0
2021-01-12,5469.714285714285,4579.285714285715,2819.1428571428573,990.8571428571429,332.7142857142857
2021-01-13,5194.285714285715,4357.428571428572,2698.8571428571427,946.4285714285714,333.14285714285717
2021-01-14,5092.714285714285,4265.285714285715,2641.1428571428573,922.1428571428571,325.7142857142857
2021-01-15,4977.142857142857,4153.0,2564.4285714285716,881.8571428571429,314.85714285714283
2021-01-16,4878.428571428572,4075.714285714286,2498.714285714286,857.0,312.42857142857144
