data,0-39 anni,40-59 anni,60-79 anni,80-89 anni,≥90 anni
2020-02-20,,,,,
2020-02-21,,,,,
2020-02-22,,,,,
2020-02-23,14.428571428571429,32.714285714285715,72.85714285714286,41.42857142857143,9.571428571428571
2020-02-24,17.285714285714285,40.857142857142854,85.85714285714286,49.285714285714285,9.857142857142858
2020-02-25,17.714285714285715,47.857142857142854,104.57142857142857,57.285714285714285,11.714285714285714
2020-02-26,18.428571428571427,54.142857142857146,122.14285714285714,69.0,13.0
2020-02-27,19.0,63.714285714285715,141.0,78.42857142857143,15.714285714285714
2020-02-28,21.0,78.71428571428571,170.0,96.28571428571429,19.142857142857142
2020-02-29,23.142857142857142,93.71428571428571,206.85714285714286,114.85714285714286,23.428571428571427
2020-03-01,25.142857142857142,116.14285714285714,256.42857142857144,129.28571428571428,24.857142857142858
2020-03-02,28.142857142857142,144.85714285714286,309.2857142857143,149.14285714285714,30.0
2020-03-03,35.142857142857146,176.71428571428572,364.0,168.85714285714286,33.285714285714285
2020-03-04,42.714285714285715,204.71428571428572,414.57142857142856,192.71428571428572,37.42857142857143
2020-03-05,48.714285714285715,226.71428571428572,463.0,212.0,41.142857142857146
2020-03-06,55.285714285714285,258.14285714285717,513.7142857142857,228.85714285714286,44.285714285714285
2020-03-07,61.857142857142854,288.42857142857144,565.5714285714286,247.0,44.0
2020-03-08,70.57142857142857,320.42857142857144,613.2857142857143,268.2857142857143,49.0
2020-03-09,81.14285714285714,344.42857142857144,667.4285714285714,289.42857142857144,49.57142857142857
2020-03-10,90.71428571428571,387.2857142857143,732.5714285714286,320.85714285714283,53.57142857142857
2020-03-11,94.14285714285714,419.7142857142857,793.1428571428571,336.14285714285717,57.0
2020-03-12,98.42857142857143,455.7142857142857,836.7142857142857,357.85714285714283,59.714285714285715
2020-03-13,110.28571428571429,495.7142857142857,910.1428571428571,382.2857142857143,61.42857142857143
2020-03-14,119.71428571428571,539.7142857142857,991.7142857142857,400.7142857142857,66.14285714285714
2020-03-15,126.0,583.2857142857143,1060.2857142857142,420.14285714285717,70.28571428571429
2020-03-16,128.28571428571428,624.5714285714286,1128.4285714285713,434.42857142857144,77.0
2020-03-17,131.14285714285714,648.8571428571429,1167.0,448.42857142857144,80.14285714285714
2020-03-18,132.42857142857142,675.7142857142857,1196.857142857143,466.85714285714283,84.14285714285714
2020-03-19,130.85714285714286,679.4285714285714,1225.0,473.85714285714283,88.85714285714286
2020-03-20,125.57142857142857,687.5714285714286,1239.2857142857142,483.7142857142857,94.0
2020-03-21,120.85714285714286,679.8571428571429,1234.2857142857142,490.57142857142856,98.57142857142857
2020-03-22,113.0,652.4285714285714,1204.4285714285713,498.57142857142856,101.14285714285714
2020-03-23,108.71428571428571,621.8571428571429,1146.857142857143,497.0,100.28571428571429
2020-03-24,104.14285714285714,593.0,1098.142857142857,490.2857142857143,103.0
2020-03-25,101.14285714285714,561.2857142857143,1037.142857142857,472.2857142857143,103.85714285714286
2020-03-26,100.14285714285714,535.0,971.0,461.7142857142857,100.71428571428571
2020-03-27,95.0,496.57142857142856,885.8571428571429,443.57142857142856,101.42857142857143
2020-03-28,92.28571428571429,465.7142857142857,795.0,422.0,100.71428571428571
2020-03-29,94.14285714285714,441.14285714285717,723.2857142857143,402.2857142857143,100.42857142857143
2020-03-30,94.28571428571429,422.7142857142857,668.2857142857143,380.57142857142856,102.85714285714286
2020-03-31,89.57142857142857,387.7142857142857,601.2857142857143,352.85714285714283,100.28571428571429
2020-04-01,88.71428571428571,356.14285714285717,548.1428571428571,338.85714285714283,98.0
2020-04-02,86.14285714285714,332.0,509.57142857142856,320.85714285714283,96.85714285714286
2020-04-03,84.0,310.2857142857143,462.42857142857144,302.2857142857143,94.28571428571429
2020-04-04,83.42857142857143,283.14285714285717,420.57142857142856,294.0,95.14285714285714
2020-04-05,79.57142857142857,267.57142857142856,398.85714285714283,275.85714285714283,89.71428571428571
2020-04-06,77.14285714285714,247.85714285714286,366.42857142857144,268.42857142857144,87.85714285714286
2020-04-07,75.71428571428571,233.14285714285714,342.0,261.85714285714283,89.14285714285714
2020-04-08,75.14285714285714,225.85714285714286,325.57142857142856,255.42857142857142,90.42857142857143
2020-04-09,74.14285714285714,220.14285714285714,308.57142857142856,251.14285714285714,93.85714285714286
2020-04-10,70.85714285714286,199.0,289.0,240.71428571428572,90.14285714285714
2020-04-11,69.28571428571429,195.71428571428572,273.57142857142856,237.57142857142858,90.42857142857143
2020-04-12,70.42857142857143,181.71428571428572,250.57142857142858,226.14285714285714,92.28571428571429
2020-04-13,69.57142857142857,171.71428571428572,234.85714285714286,214.42857142857142,89.57142857142857
2020-04-14,69.57142857142857,167.42857142857142,223.42857142857142,203.0,86.85714285714286
2020-04-15,66.14285714285714,157.0,212.71428571428572,193.57142857142858,84.57142857142857
2020-04-16,63.142857142857146,148.57142857142858,205.57142857142858,187.0,81.85714285714286
2020-04-17,65.0,152.71428571428572,202.42857142857142,186.42857142857142,85.28571428571429
2020-04-18,63.285714285714285,142.14285714285714,192.85714285714286,176.28571428571428,80.42857142857143
2020-04-19,60.0,137.0,184.57142857142858,177.57142857142858,80.57142857142857
2020-04-20,58.0,131.57142857142858,176.57142857142858,175.28571428571428,80.14285714285714
2020-04-21,55.57142857142857,122.57142857142857,168.57142857142858,171.71428571428572,77.85714285714286
2020-04-22,52.714285714285715,118.42857142857143,164.57142857142858,166.42857142857142,74.42857142857143
2020-04-23,53.0,114.71428571428571,163.0,160.14285714285714,70.57142857142857
