giorno;mm_totale_positivi;mm_deceduti;mm_guariti;mm_totale_casi
"2022-03-16";"7464";"137";"50132";"56689"
"2022-03-17";"16723";"136";"44761";"60356"
"2022-03-18";"20535";"137";"44465";"63659"
"2022-03-19";"23128";"130";"44892";"66544"
"2022-03-20";"24760";"131";"44900";"68191"
"2022-03-21";"24577";"130";"45619";"68716"
"2022-03-22";"23498";"132";"48195";"70299"
"2022-03-23";"24675";"134";"47617";"70826"
"2022-03-24";"22512";"142";"49812";"71100"
"2022-03-25";"18009";"139";"54007";"71009"
"2022-03-26";"15266";"144";"56580";"70914"
"2022-03-27";"12867";"142";"58845";"70791"
"2022-03-28";"11254";"139";"60192";"70525"
"2022-03-29";"9467";"136";"62466";"70967"
"2022-03-30";"7989";"139";"62949";"71161"
"2022-03-31";"4463";"135";"65295";"69930"
"2022-04-01";"3601";"136";"66248";"69749"
"2022-04-02";"3318";"138";"66072";"69384"
"2022-04-03";"3018";"143";"65566";"68532"
"2022-04-04";"2893";"147";"65654";"68521"
"2022-04-05";"1073";"150";"65846";"66909"
"2022-04-06";"-1280";"147";"67983";"65717"
"2022-04-07";"-3427";"146";"69526";"65203"
"2022-04-08";"-3126";"144";"67883";"64086"
"2022-04-09";"-5678";"142";"69439";"63113"
"2022-04-10";"-5351";"138";"68961";"62797"
"2022-04-11";"-5935";"136";"69171";"62474"
"2022-04-12";"-6520";"133";"69066";"61827"
"2022-04-13";"-6571";"134";"68074";"60792"
"2022-04-14";"-3628";"133";"64487";"60129"
"2022-04-15";"-4383";"132";"64479";"59417"
"2022-04-16";"-2361";"135";"62470";"59392"
"2022-04-17";"-2931";"134";"62803";"59480"
"2022-04-18";"-2274";"129";"60706";"58053"
"2022-04-19";"-2924";"123";"53257";"49992"
"2022-04-20";"-2994";"130";"58728";"55394"
"2022-04-21";"-693";"133";"57907";"56832"
"2022-04-22";"600";"142";"58241";"58497"
"2022-04-23";"1556";"144";"58211";"59455"
"2022-04-24";"2587";"143";"57837";"60065"
"2022-04-25";"3680";"145";"57699";"60994"
"2022-04-26";"3814";"148";"57941";"61331"
"2022-04-27";"3968";"145";"56074";"59630"
"2022-04-28";"3713";"140";"55483";"58799"
"2022-04-29";"3428";"130";"53728";"56749"
"2022-04-30";"-407";"128";"55135";"54332"
"2022-05-01";"-1783";"132";"54327";"52117"
"2022-05-02";"-5357";"136";"57009";"51262"
"2022-05-03";"-5002";"137";"61286";"55904"
"2022-05-04";"-6801";"133";"57262";"50061"
"2022-05-05";"-11955";"134";"59369";"47069"
"2022-05-06";"-14390";"132";"59659";"44938"
"2022-05-07";"-14002";"130";"57383";"43070"
"2022-05-08";"-15965";"125";"57869";"41648"
"2022-05-09";"-14478";"120";"56153";"41399"
"2022-05-10";"-16713";"120";"57499";"40534"
"2022-05-11";"-20839";"115";"60923";"39850"
"2022-05-12";"-20920";"114";"59686";"38573"
"2022-05-13";"-19789";"112";"57794";"37796"
"2022-05-14";"-18654";"109";"56026";"37156"
"2022-05-15";"-17399";"108";"54274";"36635"
"2022-05-16";"-17341";"110";"53692";"36137"
"2022-05-17";"-16510";"109";"51249";"34491"
"2022-05-18";"-12660";"112";"45716";"32799"
"2022-05-19";"-17930";"109";"49737";"31512"
"2022-05-20";"-19065";"105";"49132";"29806"
"2022-05-21";"-20560";"105";"48900";"28082"
"2022-05-22";"-21075";"101";"48070";"26737"
"2022-05-23";"-21332";"98";"47794";"26187"
"2022-05-24";"-22483";"94";"47087";"24263"
"2022-05-25";"-22856";"91";"46331";"23125"
"2022-05-26";"-19918";"90";"42238";"21951"
"2022-05-27";"-19352";"93";"40702";"20966"
"2022-05-28";"-19328";"89";"39878";"20149"
"2022-05-29";"-19793";"88";"39894";"19732"
"2022-05-30";"-19169";"86";"38962";"19406"
"2022-05-31";"-18661";"78";"37437";"18440"
"2022-06-01";"-17668";"70";"35855";"17862"
"2022-06-02";"-13978";"66";"31467";"17162"
"2022-06-03";"-12984";"57";"29002";"15700"
"2022-06-04";"-11386";"54";"28005";"16310"
"2022-06-05";"-10089";"54";"26762";"16347"
"2022-06-06";"-9645";"55";"26427";"16486"
"2022-06-07";"-7202";"56";"24536";"17031"
"2022-06-08";"-5702";"59";"23619";"17598"
"2022-06-09";"-4383";"58";"23132";"18434"
"2022-06-10";"-3519";"61";"24024";"20166"
"2022-06-11";"-2986";"63";"23439";"20105"
"2022-06-12";"-2745";"63";"23739";"20619"
"2022-06-13";"-2060";"59";"23352";"20885"
"2022-06-14";"-3585";"59";"26490";"22512"
"2022-06-15";"-3587";"55";"27909";"23873"
"2022-06-16";"-3491";"54";"29747";"25806"
"2022-06-17";"-7339";"50";"35621";"27787"
"2022-06-18";"-8564";"48";"38636";"29627"
"2022-06-19";"-4124";"47";"36332";"31319"
"2022-06-20";"-6040";"50";"39136";"32205"
"2022-06-21";"-565";"48";"37008";"35523"
"2022-06-22";"3018";"48";"36577";"38669"
"2022-06-23";"7399";"50";"35104";"41468"
"2022-06-24";"15162";"51";"30231";"44383"
"2022-06-25";"20352";"51";"28170";"47441"
"2022-06-26";"20013";"54";"30658";"50002"
"2022-06-27";"23457";"55";"28373";"51170"
"2022-06-28";"24789";"56";"30026";"54149"
"2022-06-29";"30029";"57";"30582";"59901"
"2022-06-30";"33174";"55";"31268";"63773"
"2022-07-01";"35833";"58";"32962";"68131"
"2022-07-02";"37441";"61";"35503";"72176"
"2022-07-03";"39500";"63";"36812";"75532"
"2022-07-04";"40047";"63";"37961";"77180"
"2022-07-05";"44832";"66";"40152";"84139"
"2022-07-06";"44403";"68";"42659";"86085"
"2022-07-07";"44844";"73";"45663";"89509"
"2022-07-08";"45459";"78";"47181";"91560"
"2022-07-09";"42472";"82";"52016";"93466"
"2022-07-10";"41447";"80";"54277";"94605"
"2022-07-11";"40691";"90";"61720";"94816"
"2022-07-12";"37601";"99";"66378";"96343"
"2022-07-13";"35122";"104";"69077";"96684"
"2022-07-14";"32104";"105";"72129";"96667"
"2022-07-15";"25649";"109";"78019";"96052"
"2022-07-16";"26526";"112";"76065";"94878"
"2022-07-17";"23568";"117";"77223";"93149"
"2022-07-18";"21482";"115";"71924";"92213"
"2022-07-19";"14637";"118";"75487";"89030"
"2022-07-20";"9641";"125";"76935";"85587"
"2022-07-21";"4628";"132";"78069";"81805"
"2022-07-22";"3239";"135";"75702";"78190"
"2022-07-23";"-2384";"136";"78152";"75096"
"2022-07-24";"-5026";"136";"78349";"72723"
"2022-07-25";"-5716";"135";"77906";"71651"
"2022-07-26";"-8215";"146";"75758";"67013"
"2022-07-27";"-11321";"153";"75657";"63838"
"2022-07-28";"-14785";"159";"76156";"60942"
"2022-07-29";"-18025";"171";"76919";"58515"
"2022-07-30";"-20733";"172";"76930";"55858"
"2022-07-31";"-21912";"173";"76019";"53823"
"2022-08-01";"-22804";"175";"76252";"53125"
"2022-08-02";"-23675";"166";"73767";"49788"
"2022-08-03";"-25526";"161";"72989";"47186"
"2022-08-04";"-25291";"156";"70206";"44699"
"2022-08-05";"-25155";"146";"67766";"42432"
"2022-08-06";"-25895";"151";"66315";"40351"
"2022-08-07";"-25932";"150";"64840";"38879"
"2022-08-08";"-28655";"149";"66486";"37903"
"2022-08-09";"-30197";"147";"64884";"34792"
"2022-08-10";"-33088";"143";"65741";"32803"
"2022-08-11";"-33583";"139";"64165";"30726"
"2022-08-12";"-33179";"136";"62117";"29079"
"2022-08-13";"-31048";"131";"58532";"27620"
"2022-08-14";"-31055";"132";"57509";"26590"
"2022-08-15";"-26729";"122";"52896";"26293"
"2022-08-16";"-23472";"107";"44778";"21416"
"2022-08-17";"-19296";"104";"41255";"22068"
"2022-08-18";"-17459";"107";"39255";"21905"
"2022-08-19";"-16501";"103";"38015";"21619"
"2022-08-20";"-15071";"97";"36534";"21563"
"2022-08-21";"-14109";"95";"35576";"21565"
"2022-08-22";"-14284";"99";"35822";"21640"
"2022-08-23";"-14562";"108";"39864";"25413"
"2022-08-24";"-15278";"106";"39030";"23860"
"2022-08-25";"-15241";"97";"38451";"23309"
"2022-08-26";"-14514";"94";"37343";"22924"
"2022-08-27";"-14293";"92";"36753";"22554"
"2022-08-28";"-14131";"89";"36333";"22294"
"2022-08-29";"-14045";"87";"35953";"21999"
"2022-08-30";"-13121";"82";"34425";"21389"
"2022-08-31";"-11697";"79";"32493";"20878"
"2022-09-01";"-11017";"77";"31396";"20459"
"2022-09-02";"-11062";"75";"31037";"20054"
"2022-09-03";"-10628";"71";"30016";"19463"
"2022-09-04";"-10961";"69";"29715";"18827"
"2022-09-05";"-11329";"66";"29837";"18578"
"2022-09-06";"-12700";"64";"30319";"17687"
"2022-09-07";"-12884";"59";"29902";"17081"
"2022-09-08";"-16966";"62";"33526";"16659"
"2022-09-09";"-16796";"58";"32845";"16142"
"2022-09-10";"-17606";"53";"33359";"15842"
"2022-09-11";"-18760";"54";"34386";"15716"
"2022-09-12";"-18113";"53";"33712";"15688"
"2022-09-13";"-16758";"55";"32115";"15446"
"2022-09-14";"-14978";"56";"30515";"15629"
"2022-09-15";"-10174";"52";"25809";"15690"
"2022-09-16";"-11013";"50";"26910";"15951"
"2022-09-17";"-8284";"53";"24405";"16178"
"2022-09-18";"-6256";"53";"22344";"16144"
"2022-09-19";"-5064";"52";"21416";"16407"
"2022-09-20";"-5710";"48";"22813";"17155"
"2022-09-21";"-5399";"44";"22840";"17489"
"2022-09-22";"-4496";"44";"22587";"18139"
"2022-09-23";"-1279";"45";"19901";"18670"
"2022-09-24";"-565";"46";"19930";"19400"
"2022-09-25";"33";"43";"20294";"20360"
"2022-09-26";"30";"43";"20547";"20610"
"2022-09-27";"4332";"44";"18600";"22964"
"2022-09-28";"6609";"44";"18552";"25170"
"2022-09-29";"9059";"40";"18249";"27312"
"2022-09-30";"3597";"38";"25626";"29226"
"2022-10-01";"4736";"38";"26017";"30885"
"2022-10-02";"5666";"39";"26530";"32272"
"2022-10-03";"5645";"41";"27022";"32745"
"2022-10-04";"6775";"40";"28093";"34944"
"2022-10-05";"7195";"39";"28877";"36172"
"2022-10-06";"4626";"43";"32490";"37219"
"2022-10-07";"12002";"47";"26566";"38675"
"2022-10-08";"5907";"50";"34179";"40081"
"2022-10-09";"5706";"53";"35168";"40929"
"2022-10-10";"5211";"53";"35915";"41182"
"2022-10-11";"4158";"56";"37772";"41989"
"2022-10-12";"3387";"60";"38900";"42352"
"2022-10-13";"4357";"61";"38052";"42473"
"2022-10-14";"2402";"66";"39418";"41889"
"2022-10-15";"7856";"68";"33283";"41211"
"2022-10-16";"6446";"67";"34094";"40610"
"2022-10-17";"5809";"73";"34574";"40374"
"2022-10-18";"3184";"78";"36114";"39294"
"2022-10-19";"1334";"79";"37097";"38429"
"2022-10-20";"-621";"82";"38315";"37695"
"2022-10-21";"-2088";"81";"39146";"37057"
"2022-10-22";"-4114";"84";"40141";"36029"
"2022-10-23";"-4745";"87";"40100";"35360"
"2022-10-24";"-5093";"79";"40109";"35098"
"2022-10-25";"-6173";"80";"39810";"33720"
"2022-10-26";"-6360";"82";"39044";"32767"
"2022-10-27";"-7205";"83";"38630";"31510"
"2022-10-28";"-7463";"82";"37878";"30499"
"2022-10-29";"-8070";"80";"37776";"29788"
"2022-10-30";"-8462";"80";"37160";"28781"
"2022-10-31";"-8192";"82";"36369";"28261"
"2022-11-01";"-8368";"77";"34079";"25667"
"2022-11-02";"-9098";"72";"31825";"22676"
"2022-11-03";"-8447";"71";"32208";"23709"
"2022-11-04";"-7602";"76";"31271";"23622"
"2022-11-05";"-6832";"79";"30466";"23590"
"2022-11-06";"-5688";"78";"29632";"23900"
"2022-11-07";"-5165";"78";"29433";"24224"
"2022-11-08";"-3659";"79";"28997";"25418"
"2022-11-09";"-2551";"82";"29895";"27428"
"2022-11-10";"-937";"78";"26741";"25885"
"2022-11-11";"-529";"74";"26169";"25715"
"2022-11-12";"466";"69";"25348";"25885"
"2022-11-13";"968";"69";"25151";"26190"
"2022-11-14";"1289";"71";"24981";"26343"
"2022-11-15";"3160";"74";"24311";"27548"
"2022-11-16";"4121";"75";"24494";"28692"
"2022-11-17";"4906";"76";"24782";"29766"
"2022-11-18";"6364";"76";"24409";"30851"
"2022-11-19";"6899";"77";"24597";"31575"
"2022-11-20";"7064";"76";"24884";"32026"
"2022-11-21";"6521";"76";"25621";"32220"
"2022-11-22";"6247";"77";"26315";"32641"
"2022-11-23";"5723";"81";"26757";"32563"
"2022-11-24";"5652";"83";"26997";"32734"
"2022-11-25";"4503";"83";"28113";"32701"
"2022-11-26";"3902";"85";"28650";"32639"
"2022-11-27";"3012";"87";"29253";"32354"
"2022-11-28";"2910";"89";"29295";"32296"
"2022-11-29";"2716";"92";"29533";"32344"
"2022-11-30";"2455";"89";"29989";"32536"
"2022-12-01";"2102";"91";"30296";"32491"
"2022-12-02";"2689";"94";"29599";"32384"
"2022-12-03";"2905";"96";"29541";"32544"
"2022-12-04";"3059";"95";"29596";"32753"
"2022-12-05";"3253";"93";"29444";"32765"
"2022-12-06";"2593";"97";"29935";"32599"
"2022-12-07";"2454";"99";"29841";"32370"
"2022-12-08";"2272";"98";"29247";"31593"
"2022-12-09";"489";"96";"27784";"28344"
"2022-12-10";"-936";"96";"29187";"28322"
"2022-12-11";"-1022";"97";"28963";"28012"
"2022-12-12";"-1285";"98";"29097";"27913"
"2022-12-13";"-2873";"94";"29688";"26912"
"2022-12-14";"-3812";"100";"29549";"25841"
"2022-12-15";"-5346";"103";"30190";"24950"
"2022-12-16";"-4988";"109";"31537";"26660"
"2022-12-17";"-4749";"107";"29526";"24888"
"2022-12-18";"-5226";"110";"29003";"23891"
"2022-12-19";"-5682";"112";"29013";"23447"
"2022-12-20";"-6115";"108";"27453";"21450"
"2022-12-21";"-6293";"108";"26604";"20422"
"2022-12-22";"-7027";"114";"26566";"19657"
"2022-12-23";"-7271";"114";"26246";"19094"
"2022-12-24";"-7047";"114";"25852";"18922"
"2022-12-25";"-6978";"111";"25744";"18880"
"2022-12-26";"-5839";"104";"24038";"18306"
"2022-12-27";"-5442";"98";"20768";"15426"
"2022-12-28";"-4751";"107";"21365";"16723"
"2022-12-29";"-2686";"101";"20028";"17444"
"2022-12-30";"-1748";"103";"19887";"18244"
"2022-12-31";"-803";"107";"19600";"18905"
"2023-01-01";"131";"109";"18845";"19086"
"2023-01-02";"-58";"116";"19156";"19215"
"2023-01-03";"1050";"125";"20722";"21898"
"2023-01-04";"875";"110";"19404";"20390"
"2023-01-05";"-1640";"111";"20954";"19427"
"2023-01-06";"-4316";"99";"22465";"18251"
"2023-01-07";"-5409";"88";"20795";"15475"
"2023-01-08";"-6336";"88";"21177";"14930"
"2023-01-09";"-6817";"85";"21688";"14958"
"2023-01-10";"-7485";"86";"21428";"14031"
"2023-01-11";"-8685";"85";"21616";"13019"
"2023-01-12";"-7506";"82";"19432";"12011"
"2023-01-13";"-6039";"84";"16905";"10952"
"2023-01-14";"-7053";"89";"18356";"11394"
"2023-01-15";"-7704";"86";"17922";"10307"
"2023-01-16";"-7744";"87";"17593";"9937"
"2023-01-17";"-8478";"77";"16995";"8595"
"2023-01-18";"-7642";"75";"15518";"7952"
"2023-01-19";"-7656";"71";"14998";"7414"
"2023-01-20";"-7216";"66";"14222";"7074"
"2023-01-21";"-6287";"63";"12966";"6743"
"2023-01-22";"-6043";"61";"12423";"6444"
"2023-01-23";"-5648";"57";"11956";"6367"
"2023-01-24";"-5310";"56";"11168";"5915"
"2023-01-25";"-5284";"54";"10899";"5670"
"2023-01-26";"-6869";"49";"12271";"5453"
"2023-01-27";"-6916";"47";"12073";"5205"
"2023-01-28";"-6567";"43";"11770";"5055"
"2023-01-29";"-6398";"45";"11560";"5016"
"2023-01-30";"-6167";"43";"11235";"4920"
"2023-01-31";"-5920";"49";"10872";"4811"
"2023-02-01";"-5691";"62";"10536";"4717"
"2023-02-02";"-3426";"63";"8275";"4720"
"2023-02-03";"-3411";"65";"8214";"4677"
"2023-02-04";"-3880";"65";"8494";"4680"
"2023-02-05";"-3823";"64";"8444";"4686"
"2023-02-06";"-3837";"64";"8455";"4682"
"2023-02-07";"-3551";"57";"8150";"4657"
"2023-02-08";"-3547";"41";"8085";"4580"
"2023-02-09";"-4561";"40";"8936";"4416"
"2023-02-10";"-4314";"38";"8589";"4314"
"2023-02-11";"-4097";"37";"8243";"4185"
"2023-02-12";"-4068";"36";"8123";"4092"
"2023-02-13";"-3686";"35";"7710";"4061"
"2023-02-14";"-3286";"36";"7254";"4005"
"2023-02-15";"-2700";"39";"6683";"4023"
"2023-02-16";"-1504";"43";"5511";"4051"
"2023-02-17";"-1216";"43";"5282";"4109"
"2023-02-18";"-876";"44";"4996";"4165"
"2023-02-19";"-594";"45";"4748";"4199"
"2023-02-20";"-775";"44";"4934";"4204"
"2023-02-21";"-964";"43";"5134";"4214"
"2023-02-22";"-1381";"38";"5531";"4189"
"2023-02-23";"-2346";"35";"6517";"4206"
"2023-02-24";"-3409";"35";"7586";"4213"
"2023-02-25";"-3597";"35";"7730";"4169"
"2023-02-26";"-4298";"35";"8398";"4135"
"2023-02-27";"-4257";"36";"8337";"4119"
"2023-02-28";"-4477";"35";"8431";"3990"
"2023-03-01";"-4228";"34";"8176";"3986"
"2023-03-02";"-3005";"33";"6781";"3812"
"2023-03-03";"-2037";"33";"5685";"3684"
"2023-03-04";"-1850";"32";"5408";"3594"
"2023-03-05";"-954";"31";"4439";"3519"
"2023-03-06";"-743";"30";"4218";"3509"
"2023-03-07";"-697";"30";"4142";"3479"
"2023-03-08";"-590";"30";"3936";"3379"
"2023-03-09";"-571";"31";"3964";"3427"
"2023-03-10";"-506";"28";"3912";"3438"
"2023-03-11";"-466";"28";"3887";"3454"
"2023-03-12";"-537";"31";"3984";"3482"
"2023-03-13";"-538";"33";"3977";"3476"
"2023-03-14";"-306";"32";"3716";"3445"
"2023-03-15";"-300";"32";"3708";"3443"
"2023-03-16";"-298";"30";"3658";"3390"
"2023-03-17";"-198";"29";"3515";"3344"
"2023-03-18";"-153";"29";"3416";"3290"
"2023-03-19";"-123";"26";"3339";"3241"
"2023-03-20";"-189";"24";"3378";"3212"
"2023-03-21";"-252";"25";"3400";"3171"
"2023-03-22";"-325";"25";"3463";"3163"
"2023-03-23";"-484";"26";"3635";"3179"
"2023-03-24";"-513";"26";"3672";"3190"
"2023-03-25";"-445";"26";"3657";"3242"
"2023-03-26";"-482";"26";"3680";"3228"
"2023-03-27";"-577";"25";"3783";"3235"
"2023-03-28";"-786";"24";"3970";"3211"
"2023-03-29";"-888";"23";"4035";"3173"
"2023-03-30";"-704";"22";"3806";"3126"
"2023-03-31";"-701";"25";"3751";"3076"
"2023-04-01";"-671";"26";"3645";"3000"
"2023-04-02";"-610";"26";"3593";"3010"
"2023-04-03";"-462";"26";"3444";"3009"
"2023-04-04";"-208";"26";"3147";"2965"
"2023-04-05";"-92";"27";"2986";"2922"
"2023-04-06";"-163";"25";"3006";"2868"
"2023-04-07";"-132";"21";"2978";"2866"
"2023-04-08";"-103";"21";"2926";"2843"
"2023-04-09";"-106";"20";"2938";"2851"
"2023-04-10";"8";"19";"2780";"2805"
"2023-04-11";"-325";"17";"2648";"2339"
"2023-04-12";"96";"16";"2715";"2826"
"2023-04-13";"193";"18";"2901";"3111"
"2023-04-14";"289";"21";"2991";"3301"
"2023-04-15";"453";"20";"3063";"3535"
"2023-04-16";"660";"19";"2948";"3627"
"2023-04-17";"457";"21";"3235";"3713"
"2023-04-18";"671";"22";"3671";"4364"
"2023-04-19";"354";"28";"3719";"4091"
"2023-04-20";"328";"27";"3652";"3997"
"2023-04-21";"272";"25";"3630";"3918"
"2023-04-22";"125";"27";"3657";"3799"
"2023-04-23";"-119";"28";"3867";"3767"
"2023-04-24";"-79";"29";"3800";"3734"
"2023-04-25";"-705";"28";"4262";"3570"
"2023-04-26";"-933";"22";"4027";"3111"
"2023-04-27";"-877";"22";"4165";"3305"
"2023-04-28";"-954";"22";"4247";"3311"
"2023-04-29";"-1230";"23";"4500";"3288"
"2023-04-30";"-1194";"22";"4422";"3244"
"2023-05-01";"-975";"20";"4186";"3232"
"2023-05-02";"-586";"20";"3314";"2748"
"2023-05-03";"-234";"23";"3470";"3259"
"2023-05-04";"-640";"24";"3591";"2975"
"2023-05-05";"-595";"25";"3488";"2919"
"2023-05-06";"-363";"26";"3179";"2842"
"2023-05-07";"-256";"27";"3023";"2794"
"2023-05-08";"-460";"29";"3213";"2782"
"2023-05-09";"-73";"30";"3216";"3173"
"2023-05-10";"-212";"26";"3048";"2862"
"2023-05-11";"132";"25";"2564";"2721"
"2023-05-12";"36";"24";"2486";"2546"
"2023-05-13";"-41";"22";"2463";"2444"
"2023-05-14";"-158";"22";"2496";"2360"
"2023-05-15";"-9";"22";"2291";"2304"
"2023-05-16";"-74";"22";"2178";"2127"
"2023-05-17";"-243";"24";"2313";"2095"
"2023-05-18";"-332";"23";"2358";"2049"
"2023-05-19";"-292";"25";"2297";"2031"
"2023-05-20";"-257";"23";"2257";"2024"
"2023-05-21";"-223";"22";"2243";"2043"
"2023-05-22";"-263";"22";"2306";"2066"
"2023-05-23";"-263";"21";"2382";"2141"
"2023-05-24";"-403";"20";"2503";"2068"
"2023-05-25";"-338";"21";"2456";"2088"
"2023-05-26";"-248";"20";"2387";"2107"
"2023-05-27";"-194";"22";"2334";"2111"
"2023-05-28";"-193";"23";"2328";"2106"
"2023-05-29";"-183";"21";"2310";"2096"
"2023-05-30";"-192";"20";"2229";"2006"
"2023-05-31";"-188";"19";"2148";"1980"
"2023-06-01";"-283";"18";"2159";"1887"
"2023-06-02";"-383";"17";"2137";"1764"
"2023-06-03";"-517";"16";"2070";"1561"
"2023-06-04";"-519";"15";"2031";"1519"
"2023-06-05";"-533";"15";"2034";"1509"
"2023-06-06";"-557";"15";"1994";"1444"
"2023-06-07";"-287";"14";"1644";"1353"
"2023-06-08";"-212";"15";"1504";"1298"
"2023-06-09";"-191";"14";"1462";"1276"
"2023-06-10";"-152";"15";"1495";"1348"
"2023-06-11";"-164";"15";"1454";"1296"
"2023-06-12";"-94";"15";"1345";"1256"
"2023-06-13";"-244";"13";"1401";"1160"
"2023-06-14";"-275";"14";"1382";"1121"
"2023-06-15";"-327";"12";"1381";"1066"
"2023-06-16";"-341";"11";"1358";"1028"
"2023-06-17";"-369";"12";"1348";"990"
"2023-06-18";"-332";"11";"1277";"957"
"2023-06-19";"-359";"12";"1282";"935"
"2023-06-20";"-204";"12";"1082";"890"
"2023-06-21";"-174";"12";"1004";"842"
"2023-06-22";"-238";"11";"1035";"809"
"2023-06-23";"-210";"12";"981";"783"
"2023-06-24";"-189";"12";"933";"756"
"2023-06-25";"-186";"12";"921";"748"
"2023-06-26";"-122";"12";"869";"760"
"2023-06-27";"-142";"13";"829";"701"
"2023-06-28";"-176";"13";"846";"682"
"2023-06-29";"-143";"12";"802";"672"
"2023-06-30";"-195";"11";"835";"651"
"2023-07-01";"-80";"10";"704";"633"
"2023-07-02";"-76";"9";"680";"613"
"2023-07-03";"-88";"8";"666";"587"
"2023-07-04";"-233";"6";"786";"559"
"2023-07-05";"-245";"5";"787";"548"
"2023-07-06";"-160";"5";"687";"533"
"2023-07-07";"-115";"5";"627";"516"
"2023-07-08";"-238";"4";"739";"506"
"2023-07-09";"-221";"4";"724";"507"
"2023-07-10";"-239";"4";"742";"508"
"2023-07-11";"-73";"5";"574";"506"
"2023-07-12";"-15";"5";"503";"493"
"2023-07-13";"-61";"5";"545";"487"
"2023-07-14";"-78";"7";"566";"493"
"2023-07-15";"-78";"6";"558";"485"
"2023-07-16";"-97";"6";"565";"473"
"2023-07-17";"-62";"7";"530";"473"
"2023-07-18";"-38";"7";"512";"479"
"2023-07-19";"-50";"7";"527";"482"
"2023-07-20";"25";"6";"455";"486"
"2023-07-21";"72";"6";"414";"492"
"2023-07-22";"58";"6";"446";"511"
"2023-07-23";"61";"6";"451";"518"
"2023-07-24";"60";"5";"458";"523"
"2023-07-25";"87";"4";"455";"547"
"2023-07-26";"148";"3";"421";"573"
"2023-07-27";"116";"4";"470";"590"
"2023-07-28";"119";"3";"491";"613"
"2023-07-29";"153";"2";"470";"626"
"2023-07-30";"177";"2";"473";"652"
"2023-07-31";"194";"3";"461";"658"
"2023-08-01";"177";"3";"532";"713"
"2023-08-02";"201";"5";"561";"761"
"2023-08-03";"241";"6";"578";"819"
"2023-08-04";"256";"7";"601";"858"
"2023-08-05";"314";"7";"587";"902"
"2023-08-06";"298";"7";"598";"898"
"2023-08-07";"284";"8";"632";"918"
"2023-08-08";"255";"10";"641";"900"
"2023-08-09";"214";"10";"660";"884"
"2023-08-10";"158";"9";"698";"865"
"2023-08-11";"136";"10";"715";"859"
"2023-08-12";"100";"11";"756";"865"
"2023-08-13";"105";"11";"775";"889"
"2023-08-14";"18";"11";"870";"896"
"2023-08-15";"-13";"8";"925";"918"
"2023-08-16";"-70";"8";"903";"846"
"2023-08-17";"6";"8";"932";"951"
"2023-08-18";"49";"6";"959";"1021"
"2023-08-19";"121";"5";"973";"1105"
"2023-08-20";"182";"6";"992";"1186"
"2023-08-21";"300";"5";"898";"1209"
"2023-08-22";"491";"5";"902";"1405"
"2023-08-23";"647";"6";"1004";"1658"
"2023-08-24";"682";"6";"1004";"1693"
"2023-08-25";"660";"8";"1128";"1796"
"2023-08-26";"688";"8";"1153";"1850"
"2023-08-27";"672";"9";"1202";"1883"
"2023-08-28";"637";"9";"1270";"1916"
"2023-08-29";"633";"9";"1409";"2052"
"2023-08-30";"669";"9";"1445";"2124"
"2023-08-31";"534";"10";"1709";"2254"
"2023-09-01";"645";"11";"1676";"2333"
"2023-09-02";"769";"12";"1664";"2446"
"2023-09-03";"800";"11";"1725";"2537"
"2023-09-04";"822";"12";"1750";"2585"
"2023-09-05";"1022";"12";"1807";"2842"
"2023-09-06";"1100";"13";"1931";"3045"
"2023-09-07";"1367";"14";"1824";"3206"
"2023-09-08";"1440";"13";"1925";"3379"
"2023-09-09";"1486";"13";"2034";"3533"
"2023-09-10";"1518";"13";"2137";"3668"
"2023-09-11";"1453";"13";"2250";"3717"
"2023-09-12";"1547";"14";"2579";"4140"
"2023-09-13";"1702";"14";"2681";"4397"
"2023-09-14";"1585";"13";"3027";"4625"
"2023-09-15";"1792";"15";"2984";"4791"
"2023-09-16";"1777";"16";"3168";"4961"
"2023-09-17";"1708";"15";"3318";"5044"
"2023-09-18";"1653";"16";"3402";"5074"
"2023-09-19";"1392";"17";"3690";"5102"
"2023-09-20";"1322";"17";"3816";"5157"
"2023-09-21";"1330";"19";"3877";"5229"
"2023-09-22";"1213";"19";"4073";"5308"
"2023-09-23";"1370";"19";"3972";"5364"
"2023-09-24";"1437";"19";"4026";"5482"
"2023-09-25";"1467";"18";"4014";"5499"
"2023-09-26";"847";"17";"4653";"5517"
"2023-09-27";"121";"18";"5400";"5539"
"2023-09-28";"-232";"16";"5837";"5622"
"2023-09-29";"-187";"17";"5929";"5759"
"2023-09-30";"-459";"19";"6127";"5686"
"2023-10-01";"-335";"19";"6120";"5803"
"2023-10-02";"-379";"21";"6176";"5817"
"2023-10-03";"495";"22";"5663";"6178"
"2023-10-04";"940";"20";"5347";"6306"
"2023-10-05";"1427";"21";"4903";"6350"
"2023-10-06";"1355";"21";"4972";"6347"
"2023-10-07";"1577";"22";"4922";"6520"
"2023-10-08";"1279";"21";"5031";"6332"
"2023-10-09";"1158";"21";"5128";"6307"
"2023-10-10";"781";"21";"5212";"6015"
"2023-10-11";"770";"23";"5152";"5947"
"2023-10-12";"653";"23";"5162";"5838"
"2023-10-13";"361";"24";"5248";"5634"
"2023-10-14";"-17";"23";"5446";"5454"
"2023-10-15";"26";"25";"5284";"5336"
"2023-10-16";"11";"26";"5375";"5412"
