data,0-5 anni,6-12 anni,13-19 anni,20-29 anni,30-39 anni,40-49 anni,50-59 anni,60-69 anni,70-79 anni,80-89 anni,≥90 anni
2020-02-20,,,,,,,,,,,
2020-02-21,,,,,,,,,,,
2020-02-22,,,,,,,,,,,
2020-02-23,0.14285714285714285,0.42857142857142855,1.1428571428571428,4.714285714285714,8.0,11.714285714285714,21.0,27.428571428571427,45.42857142857143,41.42857142857143,9.571428571428571
2020-02-24,0.2857142857142857,0.42857142857142855,1.4285714285714286,5.714285714285714,9.428571428571429,15.571428571428571,25.285714285714285,33.42857142857143,52.42857142857143,49.285714285714285,9.857142857142858
2020-02-25,0.5714285714285714,0.42857142857142855,1.4285714285714286,6.0,9.285714285714286,18.857142857142858,29.0,40.857142857142854,63.714285714285715,57.285714285714285,11.714285714285714
2020-02-26,0.7142857142857143,0.5714285714285714,1.5714285714285714,5.857142857142857,9.714285714285714,20.857142857142858,33.285714285714285,46.142857142857146,76.0,69.0,13.0
2020-02-27,1.1428571428571428,0.2857142857142857,1.8571428571428572,6.285714285714286,9.428571428571429,23.571428571428573,40.142857142857146,52.285714285714285,88.71428571428571,78.42857142857143,15.714285714285714
2020-02-28,1.5714285714285714,0.14285714285714285,2.142857142857143,6.428571428571429,10.714285714285714,28.714285714285715,50.0,64.28571428571429,105.71428571428571,96.28571428571429,19.142857142857142
2020-02-29,1.4285714285714286,0.14285714285714285,2.142857142857143,6.857142857142857,12.571428571428571,33.857142857142854,59.857142857142854,80.14285714285714,126.71428571428571,114.85714285714286,23.428571428571427
2020-03-01,2.142857142857143,0.2857142857142857,1.8571428571428572,6.285714285714286,14.571428571428571,40.42857142857143,75.71428571428571,101.57142857142857,154.85714285714286,129.28571428571428,24.857142857142858
2020-03-02,2.4285714285714284,0.2857142857142857,1.8571428571428572,6.714285714285714,16.857142857142858,47.857142857142854,97.0,122.85714285714286,186.42857142857142,149.14285714285714,30.0
2020-03-03,2.4285714285714284,0.2857142857142857,2.142857142857143,8.571428571428571,21.714285714285715,57.857142857142854,118.85714285714286,146.57142857142858,217.42857142857142,168.85714285714286,33.285714285714285
2020-03-04,2.7142857142857144,0.14285714285714285,2.4285714285714284,9.571428571428571,27.857142857142858,66.85714285714286,137.85714285714286,171.0,243.57142857142858,192.71428571428572,37.42857142857143
2020-03-05,2.857142857142857,0.14285714285714285,2.142857142857143,10.0,33.57142857142857,74.85714285714286,151.85714285714286,193.71428571428572,269.2857142857143,212.0,41.142857142857146
2020-03-06,2.857142857142857,0.2857142857142857,2.2857142857142856,11.857142857142858,38.0,83.42857142857143,174.71428571428572,217.28571428571428,296.42857142857144,228.85714285714286,44.285714285714285
2020-03-07,3.5714285714285716,0.5714285714285714,2.2857142857142856,13.714285714285714,41.714285714285715,93.14285714285714,195.28571428571428,243.14285714285714,322.42857142857144,247.0,44.0
2020-03-08,4.0,0.7142857142857143,2.2857142857142856,16.714285714285715,46.857142857142854,105.14285714285714,215.28571428571428,261.14285714285717,352.14285714285717,268.2857142857143,49.0
