u40,mid,old,ger
26617.306439175118,17948.867957709586,8805.980253486896,4350.456802845167
27212.074589907937,18697.97056281162,9048.772220434435,3999.948859130676
28459.485531539052,18938.436142111997,9319.626410202425,3965.370970900145
29263.295040211695,19480.205436110384,9421.807858634736,4197.120790805765
30638.8053396418,20174.644956660584,9844.47399907893,4262.510638896693
30981.1105625499,20888.241040005458,10090.044088814282,4474.068982366776
30635.348386186866,20383.418647121398,10044.348199276492,4393.311857495222
35210.5554459228,23366.79254844622,11592.641304296403,4581.444342576868
36552.034563315414,24654.300413888206,12230.479386185292,5355.132794612026
38839.43293379242,26049.933016595627,12714.759717314912,5186.440791518737
40379.806206773836,27503.334644552047,13324.06410209222,5544.451593773581
42833.75357581873,29488.88989530293,14220.581005798462,5795.983503909581
44725.118294436776,30387.101930404522,14760.153345850194,6018.948864199584
45407.701646155445,31004.9492771205,15356.311422794855,6419.181742241738
51772.5211676329,36014.48855899964,17258.906142997657,7300.458833602808
55808.87746298138,39121.429611507985,18719.852990421732,7461.0465060587085
59298.54316381795,43022.57980391982,20756.140211415855,8914.249111741488
63912.069782956714,46372.72152092191,22085.86780834754,9180.370133543449
67718.74092135817,50167.34286558293,23885.567367566502,10069.931866239129
70275.12710124475,52289.65775197621,25070.19406508811,10439.960069564193
73578.50964886573,55334.59067446199,26507.830828259044,11333.407933947226
81825.39045002068,63714.00042170613,30439.250332156396,13483.331386515796
88413.88631335528,70044.62863645802,33202.6714944525,14808.01964699226
94642.47668927291,75990.3575689347,36483.85907362482,15597.638963703412
99616.06272278116,81732.03979229197,39849.52313757358,16561.59447577126
107013.71084163696,89012.4887632363,43199.853617304914,18094.365564232867
112232.07693593242,93712.1625343606,46508.794700389095,20123.973127349225
119464.11365892857,99731.3514387997,49654.49383321163,21194.18925781368
129003.37387089597,111243.3491141786,55736.21681965118,23841.838790862865
136986.546426792,119414.96932840504,61296.96614990548,25846.073391372774
145285.31206021731,129391.60566518121,66676.41956019348,28620.895504162683
151973.10834330885,138270.95014015754,71867.49698213776,31844.935572725502
158896.32193540555,147728.10465947178,77381.47241042588,34018.99410546222
166708.97209426542,155078.02345720297,81189.71381078458,35940.311226931015
174185.08538657596,161923.57990455336,85155.89252334337,38179.73900015636
181537.1710867644,172291.17171539093,92216.13873390573,40796.577232919975
187546.9039356875,181165.1224328959,97727.27920329163,44544.69768556053
190005.49577387946,186844.45136354901,100914.49215666013,47871.411527633645
198021.39901238302,194843.5902204532,107381.18556914096,50823.57702670629
202444.01003373257,200681.5930001818,113101.11783220385,55518.7701642157
210938.3777853944,210399.51672976985,118950.62382881092,55987.13779007249
218720.59039820757,217255.30920490585,123333.36162233049,59757.50486087837
222322.71598083762,222607.43797547527,129044.87820402054,66358.6257699522
226884.71196785974,230499.02556647948,134014.34762259934,67477.4438774034
232532.74955535433,235378.8078807968,139060.70118002334,69896.47832248328
236749.20475281193,241247.37359105478,142851.2486990852,71853.6354527057
237617.81668731457,241948.5648232767,145059.19327409874,74583.31110714778
243780.21903990748,248112.230049913,147528.7136292562,77065.36115826697
252196.781644065,255906.33816572544,150928.14914016688,77673.676004094
250097.9676827489,252237.64331236054,150531.04202703445,77344.64506820586
249149.45652417655,250657.72347294164,152358.96566938623,81979.60176564797
251249.2512505491,250361.0705419045,154722.213420173,85190.14483857312
250977.25613440806,251371.02732113237,155171.80872491986,90166.98295356998
255527.27045448194,251494.82453550698,154749.99069541425,88057.57651118611
259824.22036471084,255120.8804803559,158827.49555325267,95201.4908778325
262238.0120283227,258053.3447457173,160846.54319004578,95802.29358991225
256356.31934412627,250155.97238790002,157015.49793350723,95637.32030426782
256875.97825434885,247992.1382850593,155425.0951543532,97376.01810839957
255564.88149931392,244605.81868422733,153945.56960836632,97063.46153879656
255540.5453936751,241199.57866223203,151750.4462614977,94522.69978116787
256452.72485350256,243199.41210190937,154353.8434819215,98991.58020037515
255638.43195280066,243024.96355738267,155711.1236533044,98809.4726792975
255585.50898121396,244305.75694376082,155052.17753045732,98137.6826681636
251532.89485497584,240223.39043019584,150481.79114364897,97172.1124880039
225456.0141334134,211020.0577888304,134989.58529013753,86728.76112765103
250600.42733791575,240681.1752024537,149502.12802867423,98753.79190949687
251135.70362016736,240788.63160306023,151102.92071414625,101759.6236391461
246513.9250909835,233744.16665050382,147492.806582432,98304.07557964716
243551.373184022,233291.8241989855,143842.5267029345,92416.79562015714
239749.3351049034,229857.95422216615,143294.56405252716,94209.54254767687
237250.48832415894,223508.99612750168,141126.4479263509,90033.57122432883
260278.54837988704,247488.43086532963,153252.80580067853,101028.9858353178
228306.7058882924,211851.56193118638,133570.39270212897,83229.43121033155
225090.38282047553,205490.3106238632,130751.09146118583,80932.40534282706
222102.75678124808,206697.58716484264,131481.49806835203,79991.27779915497
221557.72867792743,205452.244788293,130066.95610419041,83975.18385912979
225701.69403686954,205823.330822265,130438.84627249224,81410.40040413642
220083.5904202021,202294.95750005022,126505.30113312801,76504.37115633792
222612.12264218336,204265.94643041128,129454.1794748198,72499.91785256146
221074.23264787692,203306.57470325605,129804.88509768125,73715.89202781476
212920.26398843215,196878.70475115316,123444.82221822653,69067.22281025049
186553.17979717022,171551.2574067677,109312.97929883748,62256.41601481814
196275.08386418142,182428.4202121569,117947.3846739624,66653.88709788672
208355.2856562388,194995.050725052,124368.03765534308,70343.65387271899
209572.36003333924,194125.94233292135,123935.44924037898,68929.0130032544
216421.9288706136,196399.1339706006,126365.52863295027,67570.11342993921
217333.23322232082,194486.32887222632,125454.18376895403,64456.66422702315
212550.9914061614,189061.70077905594,122316.70105566867,64454.763749982645
208171.23796007663,185080.1387494759,118178.70319521983,63218.986135393985
223410.44077983085,195222.6212769226,123649.75707418664,66251.22327153156
206687.72614471533,181973.1738263269,116094.29183896614,60798.011627285654
215055.39058141492,184411.48031891562,118954.46764053707,61071.60831582496
208960.1620028345,179810.05974910298,114500.14874906345,62319.362385365006
182798.2395974385,156144.3957789844,99678.375832602,55647.20627839182
216098.23212075784,181567.76437679873,116568.2240514613,64613.009636440904
241561.02877580997,204690.4581878745,129971.30557575294,68717.15226572608
211546.31108070936,178321.30690149646,112532.83909327797,58132.293182130874
210783.68193312196,176732.09183509275,111408.04168352563,58857.43527665872
201095.1098289019,168917.87643950438,108068.46596931282,59749.962579397106
196801.77755729406,163988.94961978524,106252.60745986363,57790.94278420696
224979.78660951712,189071.7182442464,119283.88437145019,66576.48578926173
196774.5044387201,166197.0681584526,106740.50543199414,60748.05571972528
196489.55525314703,164535.44295207414,106746.40037162392,60931.02999759823
197683.16865368755,166610.69402985703,109153.91291619984,64026.71841022205
203205.74222558844,170397.20059005643,111078.2702695962,64684.40211685653
201835.44680447257,168256.08080453906,109265.03349593883,62622.82220315669
200584.77636148705,168246.31801253505,108216.16430876256,63961.488316174225
197106.327276187,165802.63661978132,109871.16689436222,62729.70182412937
196897.99473598396,164438.49746131597,105639.004691468,60979.88441436188
195393.18872540066,164924.84457672806,104863.70624592251,62094.74530574435
194461.41449705945,162591.02712869167,103560.48202903928,60227.16176862807
191388.98790129047,160358.56470209284,103118.580653003,60440.15827344238
188733.47194576365,158965.4762560529,100463.6801999289,58315.93032462263
190034.49048600253,155512.15227716145,98660.66845991049,56270.16667946875
186206.92333174107,154789.0278995606,95811.4419290083,53981.56832136067
183935.0558998478,151643.95832184824,93804.41329007453,53314.091912912205
185333.04137577335,148385.42807700197,91227.69356437332,49544.188230745895
183405.2079626277,146668.65623433617,91367.8144788597,49385.26164904688
182041.57579699456,146040.47402616337,89591.82782974662,48099.13739798688
179090.00964517464,142190.83429322368,87400.56486791642,46673.55348885794
177062.4024710592,142667.73899050395,85751.14223034123,45254.536282804045
179281.49492341423,140318.85821234973,85139.31240320147,44072.934386776695
180547.33398723832,140994.9468844502,85343.42817366305,41407.475336361706
176546.78502095898,137619.7035706046,84059.74014879843,43686.4879119153
174828.06442495066,137243.3242371168,81195.33179963396,41416.601523263074
171606.74330312895,133427.93691755206,80253.49670265379,41504.10086329493
