Date,Tot,Cumulated_Sum
2020-08-31,8.0,35899.14285714286
2020-09-01,9.428571428571429,35908.571428571435
2020-09-02,11.0,35919.571428571435
2020-09-03,10.857142857142858,35930.42857142857
2020-09-04,12.285714285714285,35942.71428571429
2020-09-05,11.571428571428571,35954.28571428572
2020-09-06,10.571428571428573,35964.857142857145
2020-09-07,10.142857142857142,35975.0
2020-09-08,9.857142857142858,35984.857142857145
2020-09-09,9.714285714285715,35994.571428571435
2020-09-10,10.857142857142858,36005.42857142857
2020-09-11,10.0,36015.42857142857
2020-09-12,12.285714285714286,36027.71428571429
2020-09-13,13.571428571428573,36041.28571428572
2020-09-14,14.571428571428573,36055.857142857145
2020-09-15,16.714285714285715,36072.571428571435
2020-09-16,17.142857142857142,36089.71428571429
2020-09-17,18.0,36107.71428571429
2020-09-18,18.428571428571427,36126.14285714286
2020-09-19,17.285714285714285,36143.42857142857
2020-09-20,18.71428571428571,36162.14285714286
2020-09-21,19.57142857142857,36181.71428571429
2020-09-22,20.285714285714285,36202.0
2020-09-23,20.714285714285715,36222.71428571429
2020-09-24,21.428571428571427,36244.14285714286
2020-09-25,22.142857142857146,36266.28571428572
2020-09-26,23.714285714285715,36290.0
2020-09-27,22.714285714285715,36312.71428571429
2020-09-28,23.285714285714285,36336.0
2020-09-29,23.428571428571427,36359.42857142857
2020-09-30,23.285714285714285,36382.71428571429
2020-10-01,22.57142857142857,36405.28571428572
2020-10-02,25.0,36430.28571428572
2020-10-03,25.0,36455.28571428572
2020-10-04,27.0,36482.28571428572
2020-10-05,28.857142857142858,36511.14285714286
2020-10-06,31.0,36542.14285714286
2020-10-07,35.857142857142854,36578.0
2020-10-08,41.0,36619.0
2020-10-09,46.285714285714285,36665.28571428572
2020-10-10,52.85714285714285,36718.14285714286
2020-10-11,58.714285714285715,36776.857142857145
2020-10-12,63.28571428571428,36840.14285714286
2020-10-13,71.85714285714286,36912.0
2020-10-14,77.28571428571429,36989.28571428572
2020-10-15,84.57142857142857,37073.857142857145
2020-10-16,89.28571428571428,37163.14285714286
2020-10-17,100.14285714285714,37263.28571428572
2020-10-18,110.71428571428572,37374.0
2020-10-19,123.28571428571428,37497.28571428572
2020-10-20,134.14285714285714,37631.42857142857
2020-10-21,151.57142857142856,37783.0
2020-10-22,164.42857142857142,37947.42857142857
2020-10-23,184.85714285714286,38132.28571428572
2020-10-24,197.71428571428572,38330.0
2020-10-25,221.42857142857144,38551.42857142857
2020-10-26,241.57142857142856,38793.0
2020-10-27,267.2857142857143,39060.28571428572
2020-10-28,291.1428571428571,39351.42857142857
2020-10-29,315.42857142857144,39666.857142857145
2020-10-30,344.0,40010.857142857145
2020-10-31,373.4285714285714,40384.28571428572
2020-11-01,395.7142857142857,40780.0
2020-11-02,432.1428571428571,41212.14285714286
2020-11-03,455.71428571428567,41667.857142857145
2020-11-04,474.8571428571429,42142.71428571429
2020-11-05,504.85714285714283,42647.571428571435
2020-11-06,528.5714285714286,43176.14285714286
2020-11-07,561.2857142857143,43737.42857142857
2020-11-08,592.1428571428571,44329.571428571435
2020-11-09,617.0,44946.571428571435
2020-11-10,637.8571428571429,45584.42857142857
2020-11-11,665.8571428571429,46250.28571428572
2020-11-12,687.2857142857143,46937.571428571435
2020-11-13,710.2857142857142,47647.857142857145
2020-11-14,728.4285714285714,48376.28571428572
2020-11-15,746.0,49122.28571428572
2020-11-16,759.8571428571428,49882.142857142855
2020-11-17,777.0,50659.142857142855
2020-11-18,774.5714285714286,51433.71428571429
2020-11-19,776.2857142857142,52210.0
2020-11-20,775.0,52985.0
2020-11-21,772.7142857142858,53757.71428571429
2020-11-22,777.1428571428571,54534.857142857145
2020-11-23,766.4285714285714,55301.28571428572
2020-11-24,765.2857142857142,56066.571428571435
2020-11-25,771.7142857142857,56838.28571428572
2020-11-26,764.4285714285713,57602.71428571429
2020-11-27,754.5714285714287,58357.28571428572
2020-11-28,738.1428571428572,59095.42857142857
2020-11-29,722.2857142857142,59817.71428571429
2020-11-30,711.7142857142858,60529.42857142857
2020-12-01,700.8571428571429,61230.28571428572
2020-12-02,688.4285714285716,61918.71428571429
2020-12-03,684.1428571428571,62602.857142857145
2020-12-04,677.8571428571429,63280.71428571429
2020-12-05,669.5714285714284,63950.28571428572
2020-12-06,665.4285714285714,64615.71428571429
2020-12-07,659.2857142857142,65275.0
2020-12-08,647.0,65922.0
2020-12-09,641.7142857142858,66563.71428571429
2020-12-10,630.2857142857142,67194.0
2020-12-11,620.0,67814.0
2020-12-12,619.5714285714287,68433.57142857143
2020-12-13,612.7142857142858,69046.28571428572
2020-12-14,608.0,69654.28571428572
2020-12-15,598.5714285714286,70252.85714285714
2020-12-16,585.8571428571429,70838.71428571429
2020-12-17,576.1428571428571,71414.85714285714
2020-12-18,567.1428571428571,71982.0
2020-12-19,553.8571428571429,72535.85714285714
2020-12-20,533.5714285714286,73069.42857142858
2020-12-21,518.2857142857142,73587.71428571429
2020-12-22,500.7142857142858,74088.42857142858
2020-12-23,488.7142857142857,74577.14285714287
2020-12-24,476.8571428571429,75054.0
2020-12-25,476.0,75530.0
2020-12-26,467.8571428571429,75997.85714285714
