Date,u40,mid,old,ger
2020-08-31,285.55301745175166,376.78779896123245,405.2246139771745,212.09124532723462
2020-09-01,317.2908901330545,407.23161489518026,429.7167960857117,229.84851883654343
2020-09-02,322.7210311732724,436.6979032939916,466.15260058361565,236.9182173295849
2020-09-03,324.95642178787256,462.33637246242023,479.5088662967387,256.26644645059866
2020-09-04,328.89303156995965,472.78373288181706,494.6242857595097,276.21875698258333
2020-09-05,327.65317833334433,497.9808226256781,495.38040057541343,295.14790270503636
2020-09-06,337.1658835875537,503.765496654345,495.8321817464025,321.2992537716688
2020-09-07,333.6141837989639,512.3360679769802,505.71673893335003,349.5005735036765
2020-09-08,339.6676840800595,528.0771025932174,508.1746992291515,371.511529462565
2020-09-09,348.93453377281304,531.3926678448564,518.0745558687948,399.54335928184696
2020-09-10,389.98006417602454,517.3204932947265,546.5026749677622,399.2653037992633
2020-09-11,394.11878821148775,534.4898634648944,572.2820760331192,411.6651726181636
2020-09-12,418.0362050551688,544.5121269667645,585.7832172747588,427.35548351181274
2020-09-13,433.1449682898685,562.8210853396131,622.9801087132058,422.45003080122973
2020-09-14,474.29313254443645,592.188854062625,630.13230466618,407.8920939882154
2020-09-15,479.49769378737477,597.6547186175015,670.4724199663005,421.793100265685
2020-09-16,494.9820912331227,623.3107815528211,678.3087916898346,437.16367031985186
2020-09-17,478.0935042067409,657.3785682842688,696.7338262525066,463.5174827370232
2020-09-18,489.47407271680663,684.3844070621218,712.228740540024,468.9571954172998
2020-09-19,483.40547671410354,731.0395706136597,759.2135094405552,438.920310145321
2020-09-20,498.9082864746967,746.8686923273902,763.2998035585928,460.0711144736725
2020-09-21,476.820718296312,750.1574357910133,813.9360032064435,484.4134048933871
2020-09-22,492.65956868420403,791.8822515046716,811.5281852252073,485.10344033015184
2020-09-23,506.31317967627774,794.335647156795,838.2969711406633,497.2177333347877
2020-09-24,528.3209025279208,809.9905479678787,851.0990908158725,500.9152072959249
2020-09-25,539.4373654134771,829.7860890071331,866.4617172505423,508.87434187730264
2020-09-26,525.8290307572299,824.1063172101616,896.3693711446347,553.5042429023473
2020-09-27,533.7681256851054,823.3490736374353,931.3549407115474,568.2047789551121
2020-09-28,554.470041306759,833.9837059655085,928.1676581874788,598.5238254105836
2020-09-29,549.0538217724487,820.6128741626059,969.0057989659706,636.605647406434
2020-09-30,557.6768951565865,822.3611068171999,995.0427850128943,662.4182409474175
2020-10-01,552.21436328837,848.0921826305339,1004.8937919593303,698.1080345769025
2020-10-02,552.3113807711816,829.1199214886532,1045.8662316730886,748.1664803354304
2020-10-03,592.4248696771936,828.1605990695768,1057.7252360694893,780.0260784083048
2020-10-04,583.5339897631578,858.8964146513949,1101.4496995529487,812.0262146704185
2020-10-05,600.2852657938043,882.2374360908943,1155.094375088078,832.2136639414106
2020-10-06,642.5039830067363,895.0745142576603,1199.710023441889,862.9493151073234
2020-10-07,658.3948871187578,957.8618554798347,1234.6255518712992,896.2386887051725
2020-10-08,686.1548629736949,984.2556799668397,1302.2298847595277,938.2330976942139
2020-10-09,688.8413086665903,1060.0670946880862,1354.417786056629,991.28411526176
2020-10-10,688.8276503237313,1124.7571490286068,1468.18693469001,1020.4489619795847
2020-10-11,729.5765869527138,1200.9214608919012,1542.6704937276463,1062.685897048229
2020-10-12,725.1960041934724,1255.32641652538,1674.39077416099,1143.327033638357
2020-10-13,740.7937700155362,1346.47999140541,1795.0002888837992,1211.3724427797479
2020-10-14,766.1607409577687,1409.9857925085278,1941.2977282542997,1308.1882115421113
2020-10-15,803.9858828384755,1493.243691687832,2090.8969143288223,1408.7540247966203
2020-10-16,861.4069198815749,1576.0230687221062,2266.906577933247,1505.7041364868753
2020-10-17,913.3331792568414,1672.7044797246724,2427.726574576995,1654.4378161395355
2020-10-18,961.9564707073478,1755.331590631294,2653.852810786125,1803.1252725544232
2020-10-19,1046.7930064900859,1908.0340753749058,2836.6690083899402,1939.5428949682528
2020-10-20,1094.7516056920515,2044.2899324718135,3097.3035897339855,2105.1577739320546
2020-10-21,1145.295830752545,2217.163781816498,3349.0276833577154,2295.0689712421986
2020-10-22,1205.6136687181734,2402.114611293352,3618.6635513831193,2496.886963180495
2020-10-23,1261.9502786400951,2598.7306982537243,3912.415395344658,2715.133139768111
2020-10-24,1308.9701106794178,2781.324008758588,4260.327247022632,2948.5074191211265
2020-10-25,1332.5224744108716,3028.6374016053974,4634.097910277456,3160.2325252670416
2020-10-26,1344.026404693338,3211.063084427313,5070.099606990494,3427.067328038742
2020-10-27,1387.4117215517645,3409.4795821997473,5479.814171872847,3702.160811394605
2020-10-28,1448.6754962669204,3606.8631142435174,5885.773690242358,3983.857614734032
2020-10-29,1490.3895106383036,3815.529822858149,6327.521639008168,4254.46501256394
2020-10-30,1525.6643169360866,3990.198982755919,6809.088840933572,4546.228995201633
2020-10-31,1592.5948143761702,4199.083323765448,7272.26628425397,4817.453471471947
2020-11-01,1647.2343920286355,4345.515962821036,7742.120404927668,5183.978457970436
2020-11-02,1703.6499769897193,4560.483854238529,8180.436266116114,5535.039689863176
2020-11-03,1730.548691860267,4786.088085203068,8672.895409133767,5866.736394967338
2020-11-04,1766.765853817817,4973.646794643406,9236.95779479513,6163.588873737139
2020-11-05,1822.6136685948989,5123.420628704632,9763.044540966059,6515.843865226764
2020-11-06,1867.7283277801,5291.664102940178,10302.54032713406,6838.092867975758
2020-11-07,1869.6598486346763,5460.686151999878,10748.363344444915,7282.368726136153
2020-11-08,1912.028721434326,5661.964797728387,11178.712224208597,7648.114885737302
2020-11-09,1972.325745390911,5803.280315701841,11653.934348266552,7977.733919707673
