S-u40,I-u40,D-u40,T-u40,H-u40,E-u40,S-mid,I-mid,D-mid,T-mid,H-mid,E-mid,S-old,I-old,D-old,T-old,H-old,E-old,S-ger,I-ger,D-ger,T-ger,H-ger,E-ger,alp-u40,gam-u40,dlt-u40,sgm-u40,tau-u40,alp-mid,gam-mid,dlt-mid,sgm-mid,tau-mid,alp-old,gam-old,dlt-old,sgm-old,tau-old,alp-ger,gam-ger,dlt-ger,sgm-ger,tau-ger
0.217558409942043,0.00379998764889259,0.00352726235433506,4.03200860841376e-05,0.293097979254844,5.0767577027604e-06,0.0605315165290673,0.00303846638559541,0.00239773525360405,0.000110118620557469,0.189604266247763,8.73084163696037e-05,0.00932598882872942,0.000796084815549694,0.00133502202251119,0.000185606686861952,0.120652155854465,0.000714775067427327,0.00345612535708135,0.000246424925206273,0.000317822152476423,8.76833340159943e-05,0.0878299311244206,0.0012539323343967,3.64577973702833,0.0841116728375039,0.000799313961853673,0.0676497944562003,0.00104705085894197,3.64577973702833,0.0395055314974488,0.00241525265397429,0.0581179545838811,0.00514305738893668,3.64577973702833,0.0427748759510893,0.00401069564478547,0.0257718629052857,0.0158640741225987,3.64577973702833,0.107325842373392,0.0805642369915902,0.0276125458618507,0.0510055187061416
0.216176101407274,0.00374674745718516,0.00350458237403044,3.98609147402819e-05,0.293464054421934,5.08815320984994e-06,0.0614068359905048,0.00299674330454133,0.00237150353557117,0.000108738421334749,0.189823847295743,8.75956058325478e-05,0.00909952138414103,0.000764131614074394,0.00130812770174813,0.000181206151777972,0.12082759562126,0.000717287480099514,0.00350455990903713,0.000239822398909023,0.000304948123316037,8.46670626524729e-05,0.0879799694981721,0.0012564641729103,3.64792746028285,0.0841007993859742,0.000795458184293534,0.0685085623684281,0.00104308629119399,3.64792746028285,0.0394663566604157,0.00239973486897958,0.0585526575744727,0.0051377555092543,3.64792746028285,0.042763351579685,0.00393228775509785,0.0260274429200527,0.0158999465590682,3.64792746028285,0.107360780167509,0.0805715803563418,0.0277231030201651,0.0511111484140564
0.213742418428126,0.00365914745405272,0.00346872911456244,3.91395893231417e-05,0.293785694767117,5.1100280475569e-06,0.0626551832657347,0.00295205484032691,0.00234149576731698,0.000108052251697657,0.190088537284013,8.80104833255271e-05,0.0096168425405451,0.000740211935427678,0.00127932630359601,0.000177141098814767,0.121068190759776,0.000719837859989177,0.00340246013390348,0.00022649052692198,0.000291244530948864,8.17496942614319e-05,0.088203439252464,0.00125949208970906,3.65141701724797,0.084083226505139,0.000789510709389759,0.0697672928829089,0.00103984038697837,3.65141701724797,0.0394029036353971,0.00238865330566683,0.0588769699827128,0.00512931283527668,3.65141701724797,0.0427465231875473,0.00385588540036254,0.0263034071175202,0.0159386261222748,3.65141701724797,0.10746074462431,0.0805928932929354,0.0278218828263892,0.0511974557182036
0.212788965852202,0.00361616028883721,0.00344612634717196,3.83336835368596e-05,0.294077490305319,5.1297648168323e-06,0.0632022157328929,0.00291859278373229,0.00231413981467438,0.000107384305807994,0.19033268461575,8.83004480267525e-05,0.00923643139607563,0.000712352683416823,0.00125264791687226,0.000173232577673708,0.121291905161948,0.000722218716784963,0.00342197940630152,0.000220567302628764,0.000280114571679781,7.87476558787815e-05,0.0884124727163005,0.00126180595167053,3.65528829884594,0.0840633897894634,0.000782594973120154,0.0711788529064108,0.00103792038158124,3.65528829884594,0.0393348216379596,0.00237966088509583,0.0591435937995732,0.00512187615221133,3.65528829884594,0.0427290515570445,0.00377671660896592,0.0265568853981489,0.0159741757517958,3.65528829884594,0.107561288706207,0.0806141114133835,0.0279354784571175,0.0512989800851678
0.212935453226544,0.00360092916417778,0.00343082063126164,3.74325377075391e-05,0.294301311497603,5.15276129070187e-06,0.0642490475682539,0.00290856044222762,0.00229603477165756,0.000106791824782296,0.190490865389799,8.84817680996664e-05,0.00765039284189726,0.00068322563853222,0.00122989598949095,0.000170591324959887,0.12142631967038,0.000724473382492922,0.0033094293476895,0.000211696867960063,0.000272000862939493,7.56642534850983e-05,0.0885319641344897,0.0012634641022775,3.65805526569255,0.0840488416990793,0.000774049295312975,0.0728569917344092,0.00103828100918954,3.65805526569255,0.0392858487361259,0.00237492354698602,0.0592855561665048,0.0051179373749095,3.65805526569255,0.0427159997410062,0.00369763521854642,0.0267331744141122,0.0159989331342666,3.65805526569255,0.107596346253226,0.0806212994283432,0.0280726932176092,0.0514317315235627
0.213007283809569,0.00357797651624457,0.00341443824337738,3.6546721603644e-05,0.294504478484476,5.1817110873486e-06,0.0649257498793039,0.00288206244510263,0.00227179407078816,0.000105873133866885,0.190638387444556,8.87691244948162e-05,0.00655437019648396,0.000664590381507489,0.00120724096378404,0.000167668598192816,0.121553171455415,0.000726760134496516,0.00321944767723715,0.00020354415161369,0.00026082241129499,7.26421418302375e-05,0.0886455880361411,0.00126561226753233,3.6609202979925,0.0840337343713608,0.000765958964578934,0.0743966670816398,0.00103885218860986,3.6609202979925,0.0392359712954231,0.0023736541710367,0.0593363558056909,0.00511407782863531,3.6609202979925,0.0427023864467389,0.00361745106319268,0.0268786132609042,0.0160193693769021,3.6609202979925,0.107631488064918,0.0806284214441565,0.0282248358978018,0.0515795360734404
0.211941909938815,0.00351989417671863,0.00338747077278248,3.57040375936127e-05,0.294749021857138,5.21410256221226e-06,0.0644756965464442,0.00284676809707282,0.00224452935608931,0.000104468959541166,0.190848909713619,8.91608725409722e-05,0.00758685652340265,0.000671668621842649,0.00118850463140405,0.000165291852721765,0.121748929581144,0.000729100791819597,0.00303930465912091,0.000197039182979817,0.000256248708405913,6.97367365244586e-05,0.0888304393470729,0.0012681309326448,3.66521551278464,0.0840115388397798,0.000758015739318483,0.0758732653460114,0.00103876100871336,3.66521551278464,0.0391617262749803,0.00237147134355958,0.0594263930000848,0.0051081820485612,3.66521551278464,0.0426828148966811,0.00352948111314332,0.0269943273961584,0.0160356842130313,3.66521551278464,0.107730528613325,0.0806502246313263,0.0284230949937911,0.051766742712028
0.21211166064493,0.00352079188206882,0.00338111582529956,3.49559130905182e-05,0.294898630913955,5.24227885103153e-06,0.064191691573249,0.0028319138846906,0.00222608988300488,0.000102833621434587,0.190965965213605,8.93339139186764e-05,0.0074899607263581,0.000684995258094804,0.00117476327070878,0.000162677339089526,0.121852804840673,0.000731120831804235,0.00283979289417852,0.000190289845968292,0.000251842628988326,6.66681552476637e-05,0.0889253764708842,0.00126948218990606,3.6685351963928,0.0839940124824494,0.000750440532014321,0.0772618627745816,0.00103950110968175,3.6685351963928,0.0391039840179203,0.00237049538209239,0.0594710714397394,0.00510552689367931,3.6685351963928,0.042663966472601,0.00344008941455079,0.027061372763908,0.0160451290060502,3.6685351963928,0.10776386378684,0.0806576528122452,0.028632124637804,0.0519716612828441
0.21117312472279,0.00380485060187924,0.00337614061805753,3.44969138048136e-05,0.295051201108228,5.27142435011196e-06,0.0633420351227554,0.00300939570073137,0.0022113938377389,0.000101240448886178,0.191085068981841,8.96112874103629e-05,0.00836499423274983,0.000682632602540801,0.00115762716552702,0.000158834913668654,0.121958311942956,0.000733141655724138,0.00286333727301729,0.000191785524672563,0.000248678050171343,6.37497288530874e-05,0.0890217899541532,0.00127128618749398,3.67170636553716,0.0839775047143717,0.000744082499098995,0.0784231923062513,0.00104001374381292,3.67170636553716,0.0390473675143415,0.00236944542588265,0.0595178077770089,0.00510321852683348,3.67170636553716,0.0426450730682791,0.00334889000648692,0.0271046443885735,0.0160512442797345,3.67170636553716,0.107798309097392,0.0806650915002663,0.0288528795828453,0.0521884553009964
0.210111008475917,0.00407613549119058,0.00337746623397397,3.43455303871214e-05,0.295334184730959,5.30548099632283e-06,0.0602166327609519,0.00313280877932178,0.00219200523164936,9.93883916338359e-05,0.191324569412393,8.9983911899658e-05,0.011168087518666,0.000687711626291523,0.00114038162238668,0.000156116899303816,0.122179363460161,0.000735305689200471,0.00293920077813202,0.000192198028363908,0.000243445218804996,6.12082701562842e-05,0.089229558342989,0.00127358811426962,3.6756274791538,0.0839577616525779,0.000740038033510231,0.0791529825891492,0.00103953617490923,3.6756274791538,0.0389789693648167,0.00236823488211616,0.059581629937297,0.00509861395972914,3.6756274791538,0.0426273996154816,0.00326449678177969,0.027129251075128,0.0160548659708867,3.6756274791538,0.107900754997351,0.0806879499444273,0.0290759058292745,0.0524016508512446
